rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
"L10 + government reserve, land levy",sumsy,10,0,505.1,499,10,505.1,174.4,225.79166666666669,11.915731013454643,0.0,0.0,-142.42221916666637,140.44081,1.2,4,22.5,0.6274053204199669,0.8208659483404374,742.8822400536953,-3.614518476753421,30.882024776534923,0.1768470152432911,158.8,10.2,0.8509114583333334,0.8208659483404374,0.0,0.0,0.0,1.6007106751203537e-10
"L2 + government, land levy",sumsy,10,0,507.2,498,10,507.2,190.4,0.0,6.3125712460183605,0.0,0.0,-422.99722999999983,144.04579,1.3,4,21.75,0.4371295791846045,0.7372645719971318,727.2401356593464,2.632268764131358,40.59566185011671,1.4145989896367954,18.2,4.1,0.8864583333333332,0.6418373658974377,0.0,0.0,0.0,1.8917489796876907e-10
"LB best SuMSy village, land levy",sumsy,10,0,504.0,494,10,504.0,173.7,245.4,12.984987076540586,0.0,0.0,-12.309131666667213,140.29645999999997,1.2,4,22.5,0.5677264839677905,0.7359017286848119,560.0163270146146,5.773575602154728,23.299855732330418,0.21345255179971864,0.0,0.0,0.8454427083333333,0.7359017286848119,0.0,0.0,0.0,2.473825588822365e-10
"LD10 + government reserve, land levy, land dividend",sumsy,10,0,511.2,510,10,511.2,184.1,101.07499999999997,16.764205052168737,0.0,0.0,-3453.8594750000025,140.44081,1.2,4,22.5,0.3215183674260754,0.7773469167313883,332.7449353464025,-0.6889793896452123,7.571019262526322,0.4769796678087507,32.6,0.0,0.5229166666666668,0.7773469167313883,0.0,0.0,0.0,1.7462298274040222e-10
"N10 step 10, market entry",debt,10,0,510.9,510,10,510.9,159.7,314.30833333333334,4.710018282283501,191796.41931999996,291.13829506740177,958.5628762320633,191796.41931999996,120.0,0,,0.4764279548727471,0.7627384335006084,750.8044673500148,-2.3540481428518625,19.895912153282516,1.1558091704583011,80.0,0.0,0.937109375,0.7627384335006084,0.0,0.0,0.0,9.458744898438454e-11
"N10 step 10, market entry",sumsy,10,0,497.0,491,10,497.0,170.7,245.05,12.227056802836376,3605.2580299999995,1.8434593789674607,122.5970366666667,7044.4222899999995,42.3,5,72.0,0.6736340178185241,0.7890336986525709,777.4551369937642,-3.5491726123655525,32.17477638718524,0.08438134706864556,229.7,17.2,0.9218750000000002,0.7890336986525709,0.0,0.0,0.0,2.3283064365386963e-10
"N8 step 8, market entry",debt,10,0,510.9,510,10,510.9,159.7,314.30833333333334,4.710018282283501,191796.41931999996,291.13829506740177,958.5628762320633,191796.41931999996,120.0,0,,0.4764279548727471,0.7627384335006084,750.8044673500148,-2.3540481428518625,19.895912153282516,1.1558091704583011,80.0,0.0,0.937109375,0.7627384335006084,0.0,0.0,0.0,9.458744898438454e-11
"N8 step 8, market entry",sumsy,10,0,498.0,491,10,498.0,170.9,245.40833333333336,12.250448560777752,3604.4589199999996,1.8430136008467426,125.08565166666672,7044.4222899999995,42.3,5,72.0,0.6729309184709658,0.7900135780577677,763.3319673987273,-3.545393550223584,32.00449224509724,0.07924512832502631,228.5,17.3,0.9208333333333334,0.7900135780577677,0.0,0.0,0.0,2.3283064365386963e-10
"NB co-op village, market entry",debt,10,0,511.3,510,10,511.3,157.9,338.9,4.705150979569291,189284.50092000022,284.3117758100058,924.2349876554854,189284.50092000022,120.0,0,,0.44200493922915385,0.7256409314754482,645.5019099145993,3.31858640020598,17.590526211882175,1.2299088866076824,0.3,0.0,0.9360677083333334,0.7256409314754482,0.0,0.0,0.0,3.637978807091713e-11
"NB co-op village, market entry",sumsy,10,0,490.2,473,9,490.2,171.6,240.75833333333335,14.089746304585512,12227.933659999999,5.813641755512729,304.1784383333334,12227.933659999999,120.0,0,,0.6142296770083533,0.7573585846430204,608.6609546565207,0.5982132762283301,22.388167367873532,0.09389200278488655,8.4,0.0,0.9145833333333334,0.7573585846430204,0.0,0.0,0.0,2.6193447411060333e-10
"NLD10 levy and land dividend, market entry",sumsy,10,0,511.8,511,10,511.8,164.7,325.79166666666663,15.419331828382743,0.0,0.0,-4270.366249166671,138.24647999999996,1.3,4,22.5,0.2879706880109164,0.711262817326861,316.6996383101824,0.6073583157609416,7.470607473424407,0.9471093312324932,21.0,0.0,0.5701822916666667,0.711262817326861,0.0,0.0,0.0,1.0186340659856796e-10
S1 step 10 + greedy quarter,debt,10,0,510.4,508,10,510.4,155.8,160.0,4.504166760878038,170101.65174000003,251.16599409317078,640.6040906757219,170101.65174000003,120.0,0,,0.4655773607821322,0.7696356554756605,750.3959257941427,-2.646077130215367,20.12900498260142,1.04065259508153,104.1,0.0,0.9305989583333332,0.7696356554756605,0.0,0.0,0.0,1.0913936421275139e-10
S1 step 10 + greedy quarter,sumsy,10,0,511.9,511,10,511.9,49.0,637.25,5.949787330397959,0.0,0.0,-28.91211999999991,6324.1623,24.4,10,66.6,0.6540650367252524,0.7639966415625931,1827.4888497414304,0.4543596266637535,82.95942413867525,2.110559578397975,14.7,0.1,0.94140625,0.7639966415625931,0.0,0.0,0.0,2.473825588822365e-10
